ASX listed companies as at Mon Mar 09 08:45:10 AEDT 2026

Company name,ASX code,GICS industry group
"RYMAN HEALTHCARE LIMITED","RYM","Health Care Equipment & Services"
"S2 RESOURCES LTD","S2R","Materials"
"SABRE RESOURCES LIMITED","SBR","Materials"
"SAFEROADS HOLDINGS LIMITED","SRH","Transportation"
"SAGALIO ENERGY LIMITED","SAN","Energy"
"SALTER BROTHERS EMERGING COMPANIES LIMITED","SB2","Not Applic"
"SALUDA MEDICAL, INC.","SLD","Health Care Equipment & Services"
"SANDFIRE RESOURCES LIMITED","SFR","Materials"
"SANDON CAPITAL INVESTMENTS LIMITED","SNC","Not Applic"
"SANTA FE MINERALS LTD","SFM","Materials"
"SANTANA MINERALS LIMITED","SMI","Materials"
"SANTOS FINANCE LIMITED","SFV","Not Applic"
"SANTOS LIMITED","STO","Energy"
"SAPPHIRE XXIX SERIES 2024-1 TRUST","SP4","Not Applic"
"SAPPHIRE XXX SERIES 2024-2 TRUST","SP5","Not Applic"
"SAPPHIRE XXXI SERIES 2024-3 TRUST","SP6","Not Applic"
"SARAMA RESOURCES LTD","SRR","Materials"
"SARYTOGAN GRAPHITE LIMITED","SGA","Materials"
"SATURN METALS LIMITED","STN","Materials"
"SAUNDERS INTERNATIONAL LIMITED","SND","Capital Goods"
"SAVANNAH GOLDFIELDS LIMITED","SVG","Materials"
"SCALARE PARTNERS HOLDINGS LIMITED","SCP","Financial Services"
"SCENTRE GROUP","SCG","Equity Real Estate Investment Trusts (REITs)"
"SCENTRE GROUP TRUST 1","SCW","Equity Real Estate Investment Trusts (REITs)"
"SCENTRE GROUP TRUST 1 AND SCENTRE GROUP TRUST 2","SCA","Not Applic"
"SCHAFFER CORPORATION LIMITED","SFC","Automobiles & Components"
"SCHOOLBLAZER LIMITED","SBZ","Capital Goods"
"SCIDEV LTD","SDV","Materials"
"SCORPION MINERALS LIMITED","SCN","Materials"
"SCOUT SECURITY LIMITED","SCT","Consumer Services"
"SDI LIMITED","SDI","Health Care Equipment & Services"
"SEA FOREST LIMITED","SEA","Food, Beverage & Tobacco"
"SEAFARMS GROUP LIMITED","SFG","Food, Beverage & Tobacco"
"SEEK LIMITED","SEK","Media & Entertainment"
"SELECT HARVESTS LIMITED","SHV","Food, Beverage & Tobacco"
"SENETAS CORPORATION LIMITED","SEN","Technology Hardware & Equipment"
"SENSEN NETWORKS LIMITED","SNS","Software & Services"
"SENTINEL METALS LIMITED","SNM","Materials"
"SEQUOIA FINANCIAL GROUP LTD","SEQ","Financial Services"
"SERIES 2019-1 REDS TRUST","BA2","Not Applic"
"SERIES 2019-1 WST TRUST","WE1","Not Applic"
"SERIES 2020-1 WST TRUST","WB1","Not Applic"
"SERIES 2021-1 WST TRUST","WSE","Not Applic"
"SERIES 2024-1 WST TRUST","WS1","Not Applic"
"SERIES 2024-2 WST TRUST","WS2","Not Applic"
"SERKO LIMITED","SKO","Software & Services"
"SERVCORP LIMITED","SRV","Real Estate Management & Development"
"SERVICE STREAM LIMITED","SSM","Capital Goods"
"SGH LIMITED","SGH","Capital Goods"
"SHAPE AUSTRALIA CORPORATION LIMITED","SHA","Capital Goods"
"SHAVER SHOP GROUP LIMITED","SSG","Consumer Discretionary Distribution & Retail"
"SHEFFIELD RESOURCES LIMITED","SFX","Materials"
"SHINE JUSTICE LTD","SHJ","Consumer Services"
"SHINHAN BANK.","SHZ","Not Applic"
"SHINHAN CARD CO., LTD.","SC1","Not Applic"
"SHRIRO HOLDINGS LIMITED","SHM","Consumer Durables & Apparel"
"SIERRA NEVADA GOLD INC.","SNX","Materials"
"SIETEL LIMITED","SSL","Real Estate Management & Development"
"SIGMA HEALTHCARE LIMITED","SIG","Health Care Equipment & Services"
"SILEX SYSTEMS LIMITED","SLX","Capital Goods"
"SILVER MINES LIMITED","SVL","Materials"
"SIMBLE SOLUTIONS LIMITED","SIS","Software & Services"
"SIMONDS GROUP LIMITED","SIO","Consumer Durables & Apparel"
"SIMS LIMITED","SGM","Materials"
"SINGULAR HEALTH GROUP LTD","SHG","Health Care Equipment & Services"
"SIREN GOLD LIMITED","SNG","Materials"
"SITEMINDER LIMITED","SDR","Software & Services"
"SIV CAPITAL LIMITED","SIV","Capital Goods"
"SKIN ELEMENTS LIMITED","SKN","Household & Personal Products"
"SKS TECHNOLOGIES GROUP LIMITED","SKS","Capital Goods"
"SKY METALS LIMITED","SKY","Materials"
"SKY NETWORK TELEVISION LIMITED.","SKT","Media & Entertainment"
"SKYCITY ENTERTAINMENT GROUP LIMITED","SKC","Consumer Services"
"SKYLARK MINERALS LIMITED","SKM","Materials"
"SMART PARKING LIMITED","SPZ","Commercial & Professional Services"
"SMARTGROUP CORPORATION LTD","SIQ","Commercial & Professional Services"
"SOCO CORPORATION LTD","SOC","Software & Services"
"SOLARA MINERALS LTD","SLA","Materials"
"SOLIS MINERALS LIMITED","SLM","Materials"
"SOLSTICE MINERALS LIMITED","SLS","Materials"
"SOLVAR LIMITED","SVR","Financial Services"
"SOMERSET MINERALS LIMITED","SMM","Materials"
"SOMNOMED LIMITED","SOM","Health Care Equipment & Services"
"SONIC HEALTHCARE LIMITED","SHL","Health Care Equipment & Services"
"SOUTH HARZ POTASH LTD","SHP","Materials"
"SOUTH32 LIMITED","S32","Materials"
"SOUTHERN CROSS ELECTRICAL ENGINEERING LTD","SXE","Capital Goods"
"SOUTHERN CROSS GOLD CONSOLIDATED LTD.","SX2","Materials"
"SOUTHERN CROSS MEDIA GROUP LIMITED","SXL","Media & Entertainment"
"SOUTHERN HEMISPHERE MINING LIMITED","SUH","Materials"
"SOUTHERN PALLADIUM LIMITED","SPD","Materials"
"SOVEREIGN METALS LIMITED","SVM","Materials"
"SPACETALK LTD","SPA","Software & Services"
"SPARC TECHNOLOGIES LIMITED","SPN","Materials"
"SPARK NEW ZEALAND LIMITED","SPK","Telecommunication Services"
"SPC GLOBAL HOLDINGS LTD","SPG","Food, Beverage & Tobacco"
"SPECTUR LIMITED","SP3","Technology Hardware & Equipment"
"SPENDA LIMITED","SPX","Software & Services"
"SPHERIA EMERGING COMPANIES LIMITED","SEC","Not Applic"
"SPORTS ENTERTAINMENT GROUP LIMITED","SEG","Media & Entertainment"
"SPORTSHERO LIMITED","SHO","Media & Entertainment"
"SPRINTEX LIMITED","SIX","Automobiles & Components"
"SQX RESOURCES LIMITED","SQX","Materials"
"SRG GLOBAL LIMITED","SRG","Capital Goods"
"SRJ TECHNOLOGIES GROUP PLC","SRJ","Energy"
"SSH GROUP LTD","SSH","Energy"
"ST BARBARA LIMITED","SBM","Materials"
"ST GEORGE MINING LIMITED","SGQ","Materials"
"STAKK LIMITED","SKK","Telecommunication Services"
"STANMORE RESOURCES LIMITED","SMR","Materials"
"STAR COMBO PHARMA LIMITED","S66","Household & Personal Products"
"STAR MINERALS LIMITED","SMS","Materials"
"STARPHARMA HOLDINGS LIMITED","SPL","Pharmaceuticals, Biotechnology & Life Sciences"
"STATE GAS LIMITED","GAS","Energy"
"STATE STREET SPDR S&P/ASX 200 ETF","STW","Not Applic"
"STATE STREET SPDR S&P/ASX 200 LISTED PROPERTY ETF","SLF","Not Applic"
"STATE STREET SPDR S&P/ASX 50 ETF","SFY","Not Applic"
"STAUDE CAPITAL GLOBAL VALUE FUND LIMITED","GVF","Not Applic"
"STAVELY MINERALS LIMITED","SVY","Materials"
"STEADFAST GROUP LIMITED","SDF","Insurance"
"STEALTH GROUP HOLDINGS LTD","SGI","Capital Goods"
"STEAMSHIPS TRADING COMPANY LIMITED","SST","Capital Goods"
"STELAR METALS LIMITED","SLB","Materials"
"STELLAR RESOURCES LIMITED","SRZ","Materials"
"STEP ONE CLOTHING LIMITED","STP","Consumer Discretionary Distribution & Retail"
"STEPCHANGE HOLDINGS LIMITED","STH","Software & Services"
"STOCKLAND","SGP","Equity Real Estate Investment Trusts (REITs)"
"STONEHORSE ENERGY LIMITED","SHE","Energy"
"STONEPEAK-PLUS INFRA DEBT LIMITED","SPP","Not Applic"
"STRAKER LIMITED","STG","Media & Entertainment"
"STRATA INVESTMENT HOLDINGS PLC","SRT","Materials"
"STRATA MINERALS LIMITED.","SMX","Materials"
"STRATEGIC ELEMENTS LIMITED","SOR","Financial Services"
"STRATEGIC ENERGY RESOURCES LIMITED","SER","Materials"
"STREAMPLAY STUDIO LIMITED","SP8","Media & Entertainment"
"STRICKLAND METALS LIMITED","STK","Materials"
"STRIKE ENERGY LIMITED","STX","Energy"
"STRIKE RESOURCES LIMITED","SRK","Materials"
"STRUCTURAL MONITORING SYSTEMS PLC","SMN","Technology Hardware & Equipment"
"SULTAN RESOURCES LTD","SLZ","Materials"
"SUMMERSET GROUP HOLDINGS LIMITED","SNZ","Health Care Equipment & Services"
"SUN SILVER LIMITED","SS1","Materials"
"SUNCORP GROUP LIMITED","SUN","Insurance"
"SUNRISE ENERGY METALS LIMITED","SRL","Materials"
"SUNSHINE METALS LIMITED","SHN","Materials"
"SUNSTONE METALS LTD","STM","Materials"
"SUPER RETAIL GROUP LIMITED","SUL","Consumer Discretionary Distribution & Retail"
"SUPERIOR RESOURCES LIMITED","SPQ","Materials"
"SUPERLOOP LIMITED","SLC","Telecommunication Services"
"SUPPLY NETWORK LIMITED","SNL","Consumer Discretionary Distribution & Retail"
"SUREFIRE RESOURCES NL","SRN","Materials"
"SWIFT TV LTD","STV","Media & Entertainment"
"SWOOP HOLDINGS LIMITED","SWP","Telecommunication Services"
"SYMAL GROUP LIMITED","SYL","Capital Goods"
"SYNERTEC CORPORATION LIMITED","SOP","Commercial & Professional Services"
"SYNLAIT MILK LIMITED","SM1","Food, Beverage & Tobacco"
"SYNTARA LIMITED","SNT","Pharmaceuticals, Biotechnology & Life Sciences"
"SYRAH RESOURCES LIMITED","SYR","Materials"
"TABCORP HOLDINGS LIMITED","TAH","Consumer Services"
"TAITON RESOURCES LIMITED","T88","Materials"
"TALGA GROUP LTD","TLG","Materials"
"TALI DIGITAL LIMITED","TD1","Health Care Equipment & Services"
"TALI RESOURCES LTD","TR2","Materials"
